Matricula,Pos_date
9EA75D576149F526833F7F0CAFBFBD2DC701213D1D0C584D073D35F341947388,01/12/2023 02:14:50
216988BB419507DFAB380C71C4795482CA90FC861D4C361F913B93203A57F5F6,01/12/2023 02:14:41
4CD8D96089ECF07CC668FB8A805D6088E400A136E696D0608323C332DBD949D8,01/12/2023 02:14:40
E9D8202FBEF52727BC67129BD6FC9DE7B287E32CB5AAEC3F3995640AD3ECE32E,01/12/2023 02:14:36
9EA75D576149F526833F7F0CAFBFBD2DC701213D1D0C584D073D35F341947388,01/12/2023 02:14:35
A380A614532C7F70201FF7711BE76CD4919A0FD320D3476BECCDECE8CA433C2C,01/12/2023 02:14:34
FF3C59B448620745BF18F32F614A1E7B43B32C7A89545EC541A90558D199D111,01/12/2023 02:14:34
679894276A1A15836A4517559DE4C780456B019AEABB4FBF9E878A1EEB665D57,01/12/2023 02:14:33
B552A6A633BDA3272B8840DEFAFA97AF693265E69D46098DB86823F714D205DF,01/12/2023 02:14:33
2E6DE46599917276EA118315105E20AEC32E0A63CDE37C796351602488BB3A89,01/12/2023 02:14:33
679894276A1A15836A4517559DE4C780456B019AEABB4FBF9E878A1EEB665D57,01/12/2023 02:14:28
19CB2C27AEA2A6C6C4DBAAB759FC3A4D6FC7A80E197BBA6B9814F7F04708C407,01/12/2023 02:14:27
A6D78066EBB26BC55C204182D5E8C1C47550EFA8F8D3014BC3845CB5056F90B9,01/12/2023 02:14:26
A6CB6B76C9ECB8C0FF4649D07C374C16E8745047A84303D7E6673F577AC7D644,01/12/2023 02:14:24
A6CB6B76C9ECB8C0FF4649D07C374C16E8745047A84303D7E6673F577AC7D644,01/12/2023 02:14:24
4CD8D96089ECF07CC668FB8A805D6088E400A136E696D0608323C332DBD949D8,01/12/2023 02:14:23
A6CB6B76C9ECB8C0FF4649D07C374C16E8745047A84303D7E6673F577AC7D644,01/12/2023 02:14:18
3FAF341332DDEE9102FD801D10F7D611A8CE9E7948372664C0AF02BB8362E9AE,01/12/2023 02:14:16
E9B77D40DA9A90D93509C6E3CFFBFE1568DB46DCF5976274DCFCC83DB6F11612,01/12/2023 02:14:16
4CD8D96089ECF07CC668FB8A805D6088E400A136E696D0608323C332DBD949D8,01/12/2023 02:14:16
9EA75D576149F526833F7F0CAFBFBD2DC701213D1D0C584D073D35F341947388,01/12/2023 02:14:15
679894276A1A15836A4517559DE4C780456B019AEABB4FBF9E878A1EEB665D57,01/12/2023 02:14:13
4CD8D96089ECF07CC668FB8A805D6088E400A136E696D0608323C332DBD949D8,01/12/2023 02:14:11
E9D8202FBEF52727BC67129BD6FC9DE7B287E32CB5AAEC3F3995640AD3ECE32E,01/12/2023 02:14:09
B376D69E11972366C72E37CBE81B7693F0A20F60788484249732048A390468A6,01/12/2023 02:14:09
07F0F06AFDDE789E75C987F1E8AF8E5F48E72512AD4FC4FBD22D89D19D0618BC,01/12/2023 02:14:07
9EA75D576149F526833F7F0CAFBFBD2DC701213D1D0C584D073D35F341947388,01/12/2023 02:14:04
E0047EE446AB648BEA8D01836B0FBDBA466C8C19A4EFA5788990BB1D505D5919,01/12/2023 02:14:02
1ED85AD5FE9A0543216F4472E689944A7AE066A584B7A2B7E9ED1FD13DF72479,01/12/2023 02:14:01
4CD8D96089ECF07CC668FB8A805D6088E400A136E696D0608323C332DBD949D8,01/12/2023 02:13:56
1ED85AD5FE9A0543216F4472E689944A7AE066A584B7A2B7E9ED1FD13DF72479,01/12/2023 02:13:56
F7A42C671224FB482AA1F752A7D2E24FBA1044196DF57F8D75B8E03E87517A35,01/12/2023 02:13:55
B552A6A633BDA3272B8840DEFAFA97AF693265E69D46098DB86823F714D205DF,01/12/2023 02:13:53
5BC2BF3A6350B344B8AD981186F5899D941076D982A6083C182A13D3F6B376DD,01/12/2023 02:13:49
679E1E2CF2BC6497342347D4B137CD3DC0C80EAF38A97781ADB848F40E7923FB,01/12/2023 02:13:49
B3C6B707FF586E09DD4455DAB6DEA799EC9DA501B0181ABE235EC1E192A20E3D,01/12/2023 02:13:48
13235751DB1148FCD42982232152D28444DC7A0A8CB2EAB8BAC00A92D7E0DEA0,01/12/2023 02:13:47
4CD8D96089ECF07CC668FB8A805D6088E400A136E696D0608323C332DBD949D8,01/12/2023 02:13:46
5BC2BF3A6350B344B8AD981186F5899D941076D982A6083C182A13D3F6B376DD,01/12/2023 02:13:45
B3C6B707FF586E09DD4455DAB6DEA799EC9DA501B0181ABE235EC1E192A20E3D,01/12/2023 02:13:41
B689E95F0FA3EB0D7C7CDF6F957C37474B5873FA67ADA532A26B00F512D15CFA,01/12/2023 02:13:40
8881B4F2722D5BAACFBE89FFD848EC76CF11E9745F807AF4E6F99A2F8A55C3DF,01/12/2023 02:13:39
B3C6B707FF586E09DD4455DAB6DEA799EC9DA501B0181ABE235EC1E192A20E3D,01/12/2023 02:13:38
1ED85AD5FE9A0543216F4472E689944A7AE066A584B7A2B7E9ED1FD13DF72479,01/12/2023 02:13:38
FF3C59B448620745BF18F32F614A1E7B43B32C7A89545EC541A90558D199D111,01/12/2023 02:13:34
679894276A1A15836A4517559DE4C780456B019AEABB4FBF9E878A1EEB665D57,01/12/2023 02:13:33
679E1E2CF2BC6497342347D4B137CD3DC0C80EAF38A97781ADB848F40E7923FB,01/12/2023 02:13:32
679894276A1A15836A4517559DE4C780456B019AEABB4FBF9E878A1EEB665D57,01/12/2023 02:13:31
3F2BF0F9BC0EDF81585748F2BB7A9277D3ABDF4C4987EE6E7F096A42B1549327,01/12/2023 02:13:30
5BC2BF3A6350B344B8AD981186F5899D941076D982A6083C182A13D3F6B376DD,01/12/2023 02:13:29
A14E8BE45CB9F9B1B8F8BFBED680BCFE79912B7C935C4B9D80F36FCAEC9F3A48,01/12/2023 02:13:28
679E1E2CF2BC6497342347D4B137CD3DC0C80EAF38A97781ADB848F40E7923FB,01/12/2023 02:13:28
4CD8D96089ECF07CC668FB8A805D6088E400A136E696D0608323C332DBD949D8,01/12/2023 02:13:27
19CB2C27AEA2A6C6C4DBAAB759FC3A4D6FC7A80E197BBA6B9814F7F04708C407,01/12/2023 02:13:27
81486AACFBE20A1A64655FD2B79DD456B68E4AB7452D1E1295D6FEDCD52DD526,01/12/2023 02:13:24
